timestamp,estado
2024-05-17 09:00:06,Programa Activo
2024-05-17 09:12:57,Programa Finalizado
2024-05-17 09:15:45,Programa Activo
2024-05-17 09:17:44,Apagado - Conexion Cerrada Inesperadamente
2024-05-17 12:59:37,Programa Activo
2024-05-17 13:12:10,Programa Finalizado
2024-05-17 14:12:05,Programa Activo
2024-05-17 14:18:03,Programa Finalizado
2024-05-17 14:25:53,Programa Activo
2024-05-17 14:30:16,Programa Finalizado
2024-05-17 14:47:45,Programa Activo
2024-05-17 14:49:49,Apagado - Conexion Cerrada Inesperadamente
2024-05-17 14:53:03,Programa Activo
2024-05-17 14:53:17,Programa Finalizado
2024-05-21 06:02:35,Programa Activo
2024-05-21 06:03:10,Apagado - Conexion Cerrada Inesperadamente
2024-05-21 06:03:27,Programa Activo
2024-05-21 06:03:43,Apagado - Conexion Cerrada Inesperadamente
2024-05-21 07:35:24,Programa Activo
2024-05-21 07:35:40,Apagado - Conexion Cerrada Inesperadamente
2024-05-21 07:40:55,Programa Activo
2024-05-21 07:41:04,Programa Activo
2024-05-21 07:43:31,Apagado - Conexion Cerrada Inesperadamente
2024-05-21 07:44:35,Apagado - Conexion Cerrada Inesperadamente
